date,X,Y,Z,DB,a,pos
2016-07-30 14:39:28:856,8.810662,0.488417,-5.506664,45.21707,0.591426077852,0.471015743305
2016-07-30 14:39:29:355,7.881712,0.411803,-5.200206,43.30919,-0.358380657041,0.45733014075
2016-07-30 14:39:29:855,8.58082,0.756568,-6.406883,47.09229,0.925502633166,0.438353593969
2016-07-30 14:39:30:355,8.523358,0.469264,-5.621585,45.5157,0.411059544396,0.415184325935
2016-07-30 14:39:30:856,7.795521,0.42138,-5.018246,43.66437,-0.529347992605,0.389649880769
2016-07-30 14:39:31:355,8.82024,0.306458,-5.72693,44.85472,0.710849651443,0.363971157171
2016-07-30 14:39:31:856,8.42759,0.632069,-5.947197,45.79631,0.524066798007,0.340368390941
2016-07-30 14:39:32:356,7.881712,0.727837,-5.477933,47.22359,-0.18405169856,0.320682466686
2016-07-30 14:39:32:856,8.561666,0.679953,-6.244078,44.88463,0.808520181638,0.306079055448
2016-07-30 14:39:33:356,8.39886,0.746991,-4.979939,44.40364,-0.017215038744,0.29688508251
2016-07-30 14:39:33:855,8.475474,0.497994,-5.324704,43.70828,0.211683004183,0.292580715322
2016-07-30 14:39:34:356,8.561666,0.23942,-6.100425,44.77463,0.705447294936,0.291940600537
2016-07-30 14:39:34:856,8.245631,0.737414,-5.755661,45.2309,0.272749800649,0.293291030911
2016-07-30 14:39:35:355,8.523358,0.814029,-5.181052,46.2847,0.197675785901,0.294829990858
2016-07-30 14:39:35:856,8.092402,0.641646,-5.592855,45.71057,0.0479260886834,0.294947979028
2016-07-30 14:39:36:355,8.523358,0.68953,-5.928043,44.63518,0.595036137703,0.292490395313
2016-07-30 14:39:36:855,8.619126,0.153229,-5.621585,44.66172,0.48150280778,0.286916100358
2016-07-30 14:39:37:356,8.226477,0.785298,-5.592855,41.95552,0.168559206186,0.278328499694
2016-07-30 14:39:37:856,8.408438,0.584185,-5.449203,46.12944,0.226778120955,0.267380792487
2016-07-30 14:39:38:355,8.60955,0.593762,-5.420472,44.49163,0.381095192271,0.255080967981
2016-07-30 14:39:38:856,8.628704,0.306458,-5.640739,45.43553,0.503408054155,0.242540263386
2016-07-30 14:39:39:355,8.513782,0.804452,-5.506664,44.15386,0.361281894271,0.23071788975
2016-07-30 14:39:39:855,7.70933,0.756568,-5.295974,43.96504,-0.426317098484,0.220213468633
2016-07-30 14:39:40:356,8.90643,0.134075,-5.736507,47.94531,0.784809295668,0.211147399722
2016-07-30 14:39:40:855,8.714894,0.507571,-5.746084,44.0208,0.641051960752,0.203150738372
2016-07-30 14:39:41:355,7.766791,0.651223,-5.27682,43.51576,-0.397669621937,0.195463873053
2016-07-30 14:39:41:855,8.274361,0.363919,-5.717354,46.01857,0.25407590185,0.187121709967
2016-07-30 14:39:42:355,9.433156,0.6608,-5.621585,50.81877,1.1910593432,0.177186298608
2016-07-30 14:39:42:855,7.996634,0.574608,-5.21936,44.82863,-0.24349340181,0.164978955363
2016-07-30 14:39:43:355,7.776367,0.172383,-5.535394,47.67285,-0.263158304831,0.15026448155
2016-07-30 14:39:43:855,9.251196,0.555455,-5.765238,46.65906,1.10472065076,0.133349732999
2016-07-30 14:39:44:355,8.226477,0.699107,-5.00867,44.70581,-0.153372762818,0.115075573753
2016-07-30 14:39:44:856,8.293515,0.344765,-5.363012,49.0317,0.0724668819376,0.0967018354602
2016-07-30 14:39:45:355,8.810662,0.402226,-5.985504,48.50501,0.849071665363,0.0797053608385
2016-07-30 14:39:45:855,8.082825,0.814029,-5.372588,45.81638,-0.070420696395,0.0655276960429
2016-07-30 14:39:46:355,8.418014,0.344765,-5.525817,45.28331,0.265538503073,0.0553184963246
2016-07-30 14:39:46:855,9.050082,0.459687,-5.803545,44.98453,0.950875006788,0.0497215686833
2016-07-30 14:39:47:356,8.303091,0.268151,-5.612008,46.8161,0.215360786782,0.0487426787537
2016-07-30 14:39:47:856,7.805098,0.957681,-5.209783,45.28588,-0.377155964692,0.0517233821924
2016-07-30 14:39:48:355,8.676588,0.536301,-6.081272,44.17218,0.799084183959,0.0574260562046
2016-07-30 14:39:48:856,8.465898,0.555455,-5.928043,42.58174,0.539959082686,0.0642155660813
2016-07-30 14:39:49:356,8.178593,0.670377,-5.66947,41.89015,0.164050273719,0.0703061998778
2016-07-30 14:39:49:855,8.39886,0.45011,-5.544971,44.24712,0.264232065152,0.074031608457
2016-07-30 14:39:50:356,8.255207,0.651223,-5.286397,44.15023,0.0143843191412,0.0740923095391
2016-07-30 14:39:50:855,8.437168,0.651223,-5.889736,44.61753,0.500135081833,0.0697402114347
2016-07-30 14:39:51:356,8.532936,0.612916,-5.918466,42.89508,0.592639213022,0.0608714691132
2016-07-30 14:39:51:855,7.97748,0.181959,-5.21936,46.42757,-0.275063448681,0.048015464214
2016-07-30 14:39:52:355,8.772356,0.622492,-5.640739,44.36421,0.637950160052,0.0322257099181
