date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:42:06:355,9.136274,0.057461,-4.309563,45.51667
2016-07-30 14:42:06:855,9.193734,0.095768,-4.271256,46.13053
2016-07-30 14:42:07:355,9.136274,-0.057461,-4.386177,47.36078
2016-07-30 14:42:07:855,8.283938,0.067038,-3.849876,45.18364
2016-07-30 14:42:08:356,10.007764,-0.076614,-4.290409,49.01465
2016-07-30 14:42:08:855,9.260772,0.038307,-4.702212,46.02448
2016-07-30 14:42:09:355,8.437168,0.21069,-4.060566,44.60291
2016-07-30 14:42:09:855,9.126698,0.02873,-4.548983,42.78543
2016-07-30 14:42:10:356,9.672576,-0.019154,-4.165911,50.36965
2016-07-30 14:42:10:856,8.55209,-0.009577,-4.395754,43.85369
2016-07-30 14:42:11:355,9.337388,-0.067038,-4.003105,44.50749
2016-07-30 14:42:11:855,9.50977,0.354342,-4.041412,48.24475
2016-07-30 14:42:12:356,8.55209,-0.095768,-4.874594,50.42412
2016-07-30 14:42:12:855,8.90643,0.076614,-4.041412,51.77954
2016-07-30 14:42:13:356,9.595962,-0.162806,-4.041412,50.08037
2016-07-30 14:42:13:855,8.79151,-0.057461,-4.481945,43.26709
2016-07-30 14:42:14:355,9.097966,0.181959,-4.414908,47.20542
2016-07-30 14:42:14:856,8.954314,-0.009577,-4.548983,44.44895
2016-07-30 14:42:15:355,8.868124,0.095768,-4.443638,45.42215
2016-07-30 14:42:15:856,9.404426,-0.105345,-3.744531,41.6023
2016-07-30 14:42:16:355,9.212888,-0.335188,-4.003105,47.20284
2016-07-30 14:42:16:856,9.174582,0.009577,-4.596867,47.33634
2016-07-30 14:42:17:355,8.39886,-0.047884,-4.625597,50.92487
2016-07-30 14:42:17:855,9.165004,-0.038307,-4.156334,46.93462
2016-07-30 14:42:18:356,9.605538,0.057461,-4.031835,42.07927
2016-07-30 14:42:18:855,8.619126,-0.325611,-4.242525,44.6339
2016-07-30 14:42:19:355,9.078814,0.383072,-4.031835,48.67334
2016-07-30 14:42:19:856,9.739614,0.02873,-4.338293,43.79622
2016-07-30 14:42:20:355,8.571242,0.220267,-4.022259,46.97125
2016-07-30 14:42:20:855,9.557654,-0.124498,-3.993528,49.22423
2016-07-30 14:42:21:356,9.595962,-0.038307,-4.060566,51.65087
2016-07-30 14:42:21:856,8.494628,-0.363919,-4.434061,49.80567
2016-07-30 14:42:22:356,8.58082,0.009577,-4.079719,51.48143
2016-07-30 14:42:22:855,10.036494,0.296881,-4.10845,48.00844
2016-07-30 14:42:23:355,8.58082,0.095768,-4.079719,43.84291
2016-07-30 14:42:23:856,8.705318,-0.134075,-3.907337,47.38713
2016-07-30 14:42:24:355,9.710882,0.038307,-4.079719,48.21927
2016-07-30 14:42:24:856,8.494628,-0.162806,-4.309563,48.86386
2016-07-30 14:42:25:356,8.801086,-0.172383,-4.34787,47.3492
2016-07-30 14:42:25:855,9.730036,0.019154,-4.357447,49.17574
2016-07-30 14:42:26:356,9.002198,-0.067038,-4.453215,46.57155
2016-07-30 14:42:26:856,8.801086,-0.02873,-4.232949,45.37628
2016-07-30 14:42:27:356,8.916008,-0.114922,-3.830723,44.76537
2016-07-30 14:42:27:855,9.394848,0.201113,-4.414908,45.84751
2016-07-30 14:42:28:355,8.935162,0.507571,-4.711789,44.01136
2016-07-30 14:42:28:856,8.18817,-0.047884,-4.367024,42.00437
2016-07-30 14:42:29:356,9.730036,0.086191,-4.271256,43.90392
2016-07-30 14:42:29:855,9.29908,0.497994,-4.663905,42.63481
2016-07-30 14:42:30:355,8.111555,-0.009577,-4.194641,45.77547
2016-07-30 14:42:30:856,9.519346,0.057461,-4.261679,49.76015
2016-07-30 14:42:31:356,10.218452,0.134075,-3.476381,50.79442
2016-07-30 14:42:31:855,8.561666,0.076614,-4.041412,48.82106
2016-07-30 14:42:32:356,8.963892,0.009577,-4.31914,47.96765
2016-07-30 14:42:32:856,9.883266,-0.143652,-3.44765,46.99674
2016-07-30 14:42:33:355,8.944738,-0.344765,-3.859453,44.31562
2016-07-30 14:42:33:856,9.29908,-0.277727,-3.734954,45.96593
2016-07-30 14:42:34:355,9.279926,0.258574,-4.185065,45.37491
2016-07-30 14:42:34:856,9.126698,0.363919,-4.175488,46.82147
2016-07-30 14:42:35:356,8.628704,-0.47884,-3.974375,47.28998
2016-07-30 14:42:35:855,9.758766,-0.277727,-3.744531,46.24454
2016-07-30 14:42:36:355,8.983046,0.181959,-4.367024,46.68769
2016-07-30 14:42:36:855,8.331822,-0.02873,-4.309563,48.88545
2016-07-30 14:42:37:355,9.32781,-0.019154,-3.620033,48.97585
2016-07-30 14:42:37:856,9.29908,-0.114922,-4.414908,44.93337
2016-07-30 14:42:38:356,8.896854,-0.411803,-4.146757,49.16304
2016-07-30 14:42:38:856,8.963892,-0.095768,-3.830723,46.57935
2016-07-30 14:42:39:357,9.021352,0.086191,-4.79798,48.11305
2016-07-30 14:42:39:855,8.916008,-0.421379,-4.185065,51.39994
2016-07-30 14:42:40:355,9.289502,-0.076614,-4.290409,51.01627
2016-07-30 14:42:40:855,8.992622,-0.105345,-3.974375,53.57826
2016-07-30 14:42:41:356,9.653422,-0.248997,-3.936067,48.67308
2016-07-30 14:42:41:855,8.695742,0.229843,-4.443638,48.32247
2016-07-30 14:42:42:355,8.331822,-0.047884,-3.974375,50.11148
2016-07-30 14:42:42:856,10.036494,-0.344765,-4.386177,45.3179
2016-07-30 14:42:43:355,8.810662,-0.45011,-4.060566,45.99948
2016-07-30 14:42:43:856,8.90643,0.095768,-4.242525,48.81818
2016-07-30 14:42:44:356,9.394848,-0.057461,-4.510676,49.81084
2016-07-30 14:42:44:856,8.82024,-0.172383,-4.252102,47.21587
2016-07-30 14:42:45:356,8.753202,-0.02873,-4.367024,45.55939
2016-07-30 14:42:45:855,9.95988,0.009577,-3.945644,46.23818
2016-07-30 14:42:46:356,9.03093,0.009577,-4.232949,45.33971
2016-07-30 14:42:46:855,8.350976,-0.383072,-4.424484,45.84139
2016-07-30 14:42:47:355,9.519346,0.306458,-4.61602,47.4393
2016-07-30 14:42:47:856,9.356542,-0.02873,-4.3766,46.89023
2016-07-30 14:42:48:355,8.379707,-0.201113,-3.945644,46.85091
2016-07-30 14:42:48:855,8.896854,0.45011,-4.625597,48.13434
2016-07-30 14:42:49:355,9.423578,0.086191,-4.912902,50.83095
2016-07-30 14:42:49:866,8.935162,0.181959,-3.581726,51.85008
2016-07-30 14:42:50:356,8.925584,-0.114922,-4.807557,51.17369
2016-07-30 14:42:50:856,9.040506,-0.411803,-4.539406,49.48165
2016-07-30 14:42:51:355,8.350976,-0.067038,-4.836287,48.83505
2016-07-30 14:42:51:855,9.03093,0.009577,-4.213795,47.17331
2016-07-30 14:42:52:356,9.078814,-0.038307,-4.539406,44.101
2016-07-30 14:42:52:856,8.8777,-0.440533,-4.299986,44.48984
2016-07-30 14:42:53:356,8.963892,-0.354342,-4.510676,45.63861
2016-07-30 14:42:53:855,8.935162,-0.440533,-4.501099,47.64598
2016-07-30 14:42:54:356,8.695742,-0.114922,-3.916914,45.45865
2016-07-30 14:42:54:856,9.404426,0.220267,-4.922478,46.31926
2016-07-30 14:42:55:355,8.810662,0.220267,-4.577713,47.27005
2016-07-30 14:42:55:855,8.839394,-0.335188,-4.453215,47.04767
2016-07-30 14:42:56:356,9.14585,0.153229,-3.974375,45.01967
2016-07-30 14:42:56:856,9.404426,0.076614,-3.888183,47.73198
2016-07-30 14:42:57:355,8.896854,-0.134075,-4.127603,45.83141
2016-07-30 14:42:57:855,9.251196,0.124498,-4.012682,45.96018
2016-07-30 14:42:58:355,8.944738,-0.181959,-4.070143,46.44503
2016-07-30 14:42:58:855,9.212888,-0.383072,-3.543418,47.48676
2016-07-30 14:42:59:355,9.682152,0.057461,-4.252102,47.55806
2016-07-30 14:42:59:856,8.121132,-0.162806,-4.003105,49.12001
2016-07-30 14:43:00:355,9.643846,-0.277727,-3.983951,49.41739
2016-07-30 14:43:00:855,9.222466,0.076614,-4.232949,46.60414
2016-07-30 14:43:01:356,8.39886,-0.162806,-3.409343,47.6799
2016-07-30 14:43:01:855,10.170568,0.325611,-3.830723,46.06824
2016-07-30 14:43:02:356,9.050082,0.287304,-4.453215,44.83036
2016-07-30 14:43:02:856,8.781932,-0.153229,-3.754108,46.97756
2016-07-30 14:43:03:355,9.557654,-0.153229,-3.926491,45.01844
2016-07-30 14:43:03:855,8.714894,0.009577,-4.357447,47.70868
2016-07-30 14:43:04:356,8.60955,-0.488417,-3.974375,45.90798
2016-07-30 14:43:04:856,9.883266,-0.134075,-3.936067,48.27979
2016-07-30 14:43:05:355,8.542512,-0.172383,-4.280833,47.3263
2016-07-30 14:43:05:855,9.078814,-0.306458,-3.840299,49.3463
2016-07-30 14:43:06:356,9.423578,-0.095768,-3.955221,44.89127
2016-07-30 14:43:06:855,8.84897,-0.287304,-4.098873,45.79366
2016-07-30 14:43:07:356,9.212888,0.019154,-4.13718,44.44635
2016-07-30 14:43:07:855,9.260772,0.02873,-3.715801,45.99134
2016-07-30 14:43:08:355,9.375694,-0.067038,-3.964798,44.95848
2016-07-30 14:43:08:856,8.781932,0.105345,-4.462792,45.41782
2016-07-30 14:43:09:355,8.762778,-0.191536,-4.309563,45.33162
2016-07-30 14:43:09:857,9.56723,0.316035,-4.309563,45.85382
2016-07-30 14:43:10:356,9.203312,0.363919,-4.10845,45.48024
2016-07-30 14:43:10:856,8.55209,0.019154,-4.443638,46.65273
2016-07-30 14:43:11:355,9.356542,0.019154,-4.529829,43.08626
2016-07-30 14:43:11:856,9.605538,0.469264,-4.367024,44.76834
2016-07-30 14:43:12:355,8.169016,-0.23942,-4.395754,47.09217
2016-07-30 14:43:12:855,9.002198,-0.517148,-5.056554,47.06102
2016-07-30 14:43:13:356,9.979034,-0.134075,-4.520252,48.03647
2016-07-30 14:43:13:856,8.446744,-0.114922,-4.271256,46.16672
2016-07-30 14:43:14:356,8.781932,-0.076614,-4.242525,46.85227
2016-07-30 14:43:14:856,9.902418,0.105345,-4.175488,47.65917
2016-07-30 14:43:15:355,8.868124,-0.296881,-4.10845,44.01569
2016-07-30 14:43:15:856,8.293515,-0.009577,-4.424484,43.33641
2016-07-30 14:43:16:356,9.701306,-0.047884,-4.3766,44.54676
2016-07-30 14:43:16:856,9.519346,-0.086191,-4.242525,43.5602
2016-07-30 14:43:17:355,8.456322,-0.153229,-4.098873,44.20134
2016-07-30 14:43:17:855,8.312668,-0.086191,-4.156334,45.07549
2016-07-30 14:43:18:356,10.007764,-0.047884,-3.888183,47.41278
2016-07-30 14:43:18:856,8.90643,0.220267,-4.472368,47.33029
2016-07-30 14:43:19:355,8.63828,0.057461,-4.405331,46.23134
2016-07-30 14:43:19:856,9.260772,-0.02873,-4.357447,47.70915
2016-07-30 14:43:20:355,9.251196,0.153229,-3.840299,49.50244
2016-07-30 14:43:20:855,9.097966,-0.134075,-4.242525,49.16374
2016-07-30 14:43:21:356,9.011776,-0.124498,-3.89776,47.51296
2016-07-30 14:43:21:855,9.29908,-0.440533,-3.907337,48.53647
2016-07-30 14:43:22:356,8.90643,0.105345,-4.61602,49.99698
2016-07-30 14:43:22:856,8.619126,-0.277727,-4.031835,48.44226
2016-07-30 14:43:23:356,9.739614,-0.095768,-3.581726,48.10965
2016-07-30 14:43:23:856,9.241618,0.45011,-4.271256,44.04515
2016-07-30 14:43:24:355,8.226477,-0.124498,-3.438074,48.57946
2016-07-30 14:43:24:856,10.151416,0.363919,-4.031835,49.75821
2016-07-30 14:43:25:356,9.002198,0.316035,-3.926491,50.98352
2016-07-30 14:43:25:856,9.069236,-0.201113,-4.012682,45.92868
2016-07-30 14:43:26:355,9.528924,-0.229843,-4.012682,45.55565
2016-07-30 14:43:26:855,8.628704,-0.306458,-3.754108,45.79586
2016-07-30 14:43:27:355,9.576808,0.009577,-3.916914,47.78047
2016-07-30 14:43:27:855,9.002198,-0.114922,-3.562572,47.13468
2016-07-30 14:43:28:356,8.66701,0.296881,-4.003105,48.58374
2016-07-30 14:43:28:855,9.74919,0.804452,-4.290409,45.00615
2016-07-30 14:43:29:356,8.60955,0.047884,-3.849876,45.82868
2016-07-30 14:43:29:856,9.337388,0.02873,-4.510676,44.76905
2016-07-30 14:43:30:356,9.80665,0.019154,-3.888183,45.8064
2016-07-30 14:43:30:855,8.37013,0.296881,-3.936067,46.7455
2016-07-30 14:43:31:356,9.155428,0.057461,-4.548983,47.50447
2016-07-30 14:43:31:856,9.873688,0.134075,-3.926491,45.67519
2016-07-30 14:43:32:355,8.58082,-0.076614,-3.782838,44.10012
2016-07-30 14:43:32:855,8.628704,0.172383,-4.472368,45.33972
2016-07-30 14:43:33:355,9.595962,-0.47884,-4.31914,47.01387
2016-07-30 14:43:33:855,9.155428,-0.057461,-4.299986,45.66278
2016-07-30 14:43:34:355,8.839394,-0.124498,-3.20823,48.40297
2016-07-30 14:43:34:856,9.040506,-0.086191,-4.472368,46.20623
2016-07-30 14:43:35:356,8.676588,0.277727,-4.453215,44.33428
2016-07-30 14:43:35:856,9.643846,-0.526724,-4.443638,45.44899
2016-07-30 14:43:36:356,8.963892,0.086191,-4.472368,48.12723
2016-07-30 14:43:36:856,8.973468,0.766145,-4.232949,45.66178
2016-07-30 14:43:37:356,8.781932,-0.411803,-3.792415,45.75443
2016-07-30 14:43:37:856,9.174582,-0.124498,-4.31914,46.47028
2016-07-30 14:43:38:355,9.615114,-0.229843,-4.309563,44.50489
2016-07-30 14:43:38:856,8.571242,-0.095768,-4.204218,46.62537
2016-07-30 14:43:39:356,9.08839,0.076614,-3.744531,44.34484
2016-07-30 14:43:39:855,8.925584,0.248997,-4.213795,45.97393
2016-07-30 14:43:40:355,9.797074,-0.785298,-4.414908,45.42743
2016-07-30 14:43:40:855,8.619126,0.057461,-4.261679,45.29154
2016-07-30 14:43:41:355,8.58082,0.248997,-4.309563,48.09716
2016-07-30 14:43:41:855,9.662998,-0.067038,-4.491522,44.18946
2016-07-30 14:43:42:356,9.040506,-0.536301,-3.974375,44.63825
2016-07-30 14:43:42:855,9.03093,-0.191536,-3.620033,46.03888
2016-07-30 14:43:43:356,9.730036,0.507571,-4.548983,46.41165
2016-07-30 14:43:43:855,8.274361,0.047884,-4.079719,45.40483
2016-07-30 14:43:44:355,9.5385,-0.383072,-3.505111,52.67198
2016-07-30 14:43:44:855,9.911996,0.229843,-4.060566,50.96558
2016-07-30 14:43:45:355,8.063671,-0.162806,-4.338293,49.37174
2016-07-30 14:43:45:855,9.05966,0.047884,-3.552995,47.53496
2016-07-30 14:43:46:356,10.007764,0.076614,-3.505111,48.32321
2016-07-30 14:43:46:855,8.983046,-0.229843,-3.734954,45.24295
2016-07-30 14:43:47:356,8.79151,0.105345,-3.993528,47.38755
2016-07-30 14:43:47:855,9.289502,-0.392649,-3.782838,46.51522
2016-07-30 14:43:48:355,8.868124,0.019154,-4.338293,42.96588
2016-07-30 14:43:48:855,9.768344,-0.162806,-3.476381,45.83199
2016-07-30 14:43:49:356,8.887278,-0.181959,-4.050989,46.43776
2016-07-30 14:43:49:856,8.829816,0.593762,-4.453215,44.60709
2016-07-30 14:43:50:355,9.356542,0.095768,-3.993528,45.97478
2016-07-30 14:43:50:855,9.222466,0.134075,-3.811569,43.48154
2016-07-30 14:43:51:356,9.605538,0.545878,-4.328717,44.86679
2016-07-30 14:43:51:856,8.58082,-0.019154,-4.022259,47.13178
2016-07-30 14:43:52:355,8.925584,0.02873,-4.012682,49.24842
2016-07-30 14:43:52:856,10.572796,-0.679953,-3.840299,50.93016
2016-07-30 14:43:53:355,8.42759,0.105345,-4.194641,51.60404
2016-07-30 14:43:53:855,8.504206,0.019154,-3.86903,55.5343
2016-07-30 14:43:54:355,10.218452,-0.373495,-4.13718,53.09772
2016-07-30 14:43:54:856,8.590396,-0.421379,-4.271256,44.97711
2016-07-30 14:43:55:356,8.916008,-0.02873,-4.414908,47.0575
2016-07-30 14:43:55:855,9.366118,0.354342,-4.012682,45.47472
2016-07-30 14:43:56:356,8.418014,-0.363919,-4.481945,46.18907
2016-07-30 14:43:56:855,9.423578,0.057461,-4.223372,46.45656
2016-07-30 14:43:57:355,9.433156,0.392649,-4.13718,45.73479
2016-07-30 14:43:57:855,8.341399,-0.363919,-3.878607,46.38605
2016-07-30 14:43:58:356,9.672576,0.363919,-4.328717,47.15448
2016-07-30 14:43:58:856,9.969456,-0.497994,-4.050989,46.94795
2016-07-30 14:43:59:356,8.532936,0.134075,-4.031835,45.52404
2016-07-30 14:43:59:855,8.475474,-0.105345,-4.271256,46.67742
2016-07-30 14:44:00:355,10.35253,-0.114922,-3.840299,46.94358
2016-07-30 14:44:00:856,8.724472,-0.134075,-3.955221,43.66207
2016-07-30 14:44:01:356,9.03093,-0.191536,-4.204218,45.95209
2016-07-30 14:44:01:856,9.279926,0.258574,-4.223372,44.90865
2016-07-30 14:44:02:356,8.475474,0.02873,-3.859453,46.81635
2016-07-30 14:44:02:856,9.77792,0.363919,-4.31914,45.79074
2016-07-30 14:44:03:355,9.021352,0.258574,-4.022259,45.82971
2016-07-30 14:44:03:856,8.724472,-0.086191,-4.462792,44.25035
2016-07-30 14:44:04:356,9.308656,-0.114922,-4.434061,44.38123
2016-07-30 14:44:04:856,8.935162,-0.191536,-3.466804,43.57752
2016-07-30 14:44:05:355,9.787498,0.134075,-3.744531,45.12206
2016-07-30 14:44:05:855,8.504206,0.047884,-4.462792,43.71532
2016-07-30 14:44:06:355,8.90643,-0.124498,-4.185065,44.92028
2016-07-30 14:44:06:855,9.528924,0.114922,-4.165911,44.45557
2016-07-30 14:44:07:356,9.050082,-0.268151,-4.041412,43.07337
2016-07-30 14:44:07:855,8.475474,0.124498,-4.242525,45.27739
2016-07-30 14:44:08:355,9.500194,-0.383072,-4.309563,47.62999
2016-07-30 14:44:08:855,9.404426,-0.201113,-4.13718,44.69498
2016-07-30 14:44:09:361,8.341399,-0.248997,-4.223372,46.76885
2016-07-30 14:44:09:856,9.32781,0.316035,-4.156334,45.38971
2016-07-30 14:44:10:356,9.816228,-0.181959,-4.606444,48.0911
2016-07-30 14:44:10:856,8.236054,0.162806,-3.811569,45.55544
2016-07-30 14:44:11:356,9.29908,-0.047884,-4.491522,46.35564
2016-07-30 14:44:11:855,9.816228,0.316035,-4.472368,51.59496
2016-07-30 14:44:12:356,8.408438,-0.009577,-4.424484,44.13533
2016-07-30 14:44:12:856,9.040506,0.411803,-4.730942,45.06317
2016-07-30 14:44:13:356,9.366118,-0.181959,-4.328717,45.35645
2016-07-30 14:44:13:856,8.705318,0.325611,-3.945644,44.5461
2016-07-30 14:44:14:356,9.03093,-0.143652,-4.912902,46.95754
2016-07-30 14:44:14:856,9.08839,0.105345,-4.673482,42.91727
2016-07-30 14:44:15:356,8.60955,0.201113,-4.261679,43.71846
2016-07-30 14:44:15:860,9.433156,-0.325611,-4.635174,44.38634
2016-07-30 14:44:16:356,8.571242,-0.076614,-4.462792,43.77854
2016-07-30 14:44:16:856,9.069236,-0.019154,-4.232949,43.26363
2016-07-30 14:44:17:355,9.232042,0.114922,-4.185065,45.88126
2016-07-30 14:44:17:856,8.887278,-0.02873,-4.405331,44.38045
2016-07-30 14:44:18:355,8.896854,0.057461,-4.491522,44.60996
2016-07-30 14:44:18:856,9.394848,-0.306458,-4.654328,44.6554
2016-07-30 14:44:19:355,9.11712,0.316035,-3.466804,43.40068
2016-07-30 14:44:19:856,9.002198,0.124498,-4.041412,47.30619
2016-07-30 14:44:20:355,9.586384,-0.134075,-4.232949,50.04206
2016-07-30 14:44:20:860,8.226477,0.584185,-3.89776,46.2486
2016-07-30 14:44:21:356,9.500194,0.248997,-4.424484,47.44211
2016-07-30 14:44:21:856,9.289502,-0.134075,-4.185065,45.04419
2016-07-30 14:44:22:355,8.350976,-0.248997,-3.763685,46.96979
2016-07-30 14:44:22:855,9.98861,0.402226,-4.10845,46.07445
2016-07-30 14:44:23:355,9.078814,-0.296881,-3.763685,43.83026
2016-07-30 14:44:23:855,9.021352,-0.019154,-4.079719,46.97827
2016-07-30 14:44:24:355,9.730036,0.23942,-4.050989,46.49428
2016-07-30 14:44:24:856,8.207323,-0.316035,-4.271256,45.95771
2016-07-30 14:44:25:355,8.963892,-0.105345,-3.86903,49.65396
2016-07-30 14:44:25:855,10.01734,-0.354342,-4.041412,46.00579
2016-07-30 14:44:26:356,8.628704,0.325611,-3.983951,44.61901
2016-07-30 14:44:26:856,8.829816,0.067038,-4.194641,45.329
2016-07-30 14:44:27:356,9.950302,-0.430956,-3.715801,47.27744
2016-07-30 14:44:27:855,9.212888,-0.162806,-4.261679,46.64299
2016-07-30 14:44:28:355,8.494628,-0.019154,-4.501099,49.04909
2016-07-30 14:44:28:855,8.513782,0.325611,-4.338293,47.05025
2016-07-30 14:44:29:356,9.892842,-0.306458,-3.840299,49.43733
2016-07-30 14:44:29:855,8.628704,0.134075,-4.55856,46.28884
2016-07-30 14:44:30:356,8.79151,0.019154,-4.041412,45.63806
2016-07-30 14:44:30:855,9.730036,-0.153229,-3.552995,45.95354
2016-07-30 14:44:31:356,9.308656,0.057461,-3.773262,45.55037
2016-07-30 14:44:31:856,8.686164,0.153229,-4.31914,43.88944
2016-07-30 14:44:32:355,9.14585,0.45011,-4.625597,42.91356
2016-07-30 14:44:32:855,8.983046,0.316035,-3.916914,45.4467
2016-07-30 14:44:33:355,9.605538,-0.086191,-3.620033,45.05313
2016-07-30 14:44:33:855,9.155428,0.373495,-4.453215,44.12128
2016-07-30 14:44:34:356,8.312668,-0.095768,-4.127603,51.44052
2016-07-30 14:44:34:856,10.25676,-0.02873,-4.050989,50.92494
2016-07-30 14:44:35:355,8.207323,0.143652,-4.261679,47.63086
2016-07-30 14:44:35:855,9.232042,0.114922,-4.788403,47.03951
2016-07-30 14:44:36:355,9.442732,-0.019154,-4.098873,45.53607
2016-07-30 14:44:36:856,8.944738,-0.430956,-4.003105,50.92339
2016-07-30 14:44:37:355,9.050082,0.009577,-4.836287,51.4691
2016-07-30 14:44:37:856,8.628704,0.086191,-4.395754,49.77121
2016-07-30 14:44:38:355,8.705318,-0.095768,-4.175488,51.38947
2016-07-30 14:44:38:856,9.854534,-0.114922,-4.175488,51.41077
2016-07-30 14:44:39:356,8.283938,0.277727,-4.663905,46.11037
2016-07-30 14:44:39:855,8.465898,0.019154,-4.367024,46.08696
2016-07-30 14:44:40:355,9.873688,0.153229,-5.161899,47.99913
2016-07-30 14:44:40:858,8.84897,0.02873,-4.003105,43.05713
2016-07-30 14:44:41:355,8.58082,-0.248997,-4.539406,47.38646
2016-07-30 14:44:41:855,9.337388,-0.277727,-4.577713,45.66497
2016-07-30 14:44:42:356,8.887278,0.229843,-4.242525,43.56583
2016-07-30 14:44:42:855,9.097966,0.229843,-4.34787,44.83527
2016-07-30 14:44:43:355,8.341399,-0.258574,-4.434061,43.30702
2016-07-30 14:44:43:856,9.03093,0.316035,-4.970362,43.88262
2016-07-30 14:44:44:356,9.385272,0.143652,-4.271256,44.17665
2016-07-30 14:44:44:856,8.619126,-0.047884,-4.290409,43.91149
2016-07-30 14:44:45:356,8.686164,-0.555455,-4.76925,48.73464
2016-07-30 14:44:45:855,9.624692,0.153229,-4.462792,50.05261
2016-07-30 14:44:46:356,8.983046,0.162806,-4.165911,49.94675
2016-07-30 14:44:46:856,8.561666,0.114922,-4.434061,49.17931
2016-07-30 14:44:47:355,9.32781,-0.153229,-4.702212,48.12154
2016-07-30 14:44:47:855,9.212888,-0.038307,-4.146757,45.87703
2016-07-30 14:44:48:355,8.781932,0.354342,-3.974375,45.42705
2016-07-30 14:44:48:856,9.433156,0.153229,-4.118027,42.59433
2016-07-30 14:44:49:355,9.241618,-0.038307,-4.031835,45.75122
2016-07-30 14:44:49:855,8.82024,0.038307,-4.721366,44.16001
2016-07-30 14:44:50:355,8.839394,0.114922,-4.721366,46.32846
2016-07-30 14:44:50:856,9.040506,0.038307,-4.912902,45.60372
2016-07-30 14:44:51:355,8.839394,-0.067038,-3.667917,45.70247
2016-07-30 14:44:51:855,9.471462,-0.181959,-4.271256,47.01714
2016-07-30 14:44:52:356,9.050082,0.124498,-4.242525,47.85201
2016-07-30 14:44:52:856,8.523358,0.047884,-4.481945,48.07889
2016-07-30 14:44:53:355,10.036494,0.143652,-3.801992,47.18683
2016-07-30 14:44:53:855,8.571242,0.02873,-3.993528,45.69496
2016-07-30 14:44:54:355,9.241618,-0.02873,-4.472368,49.42452
2016-07-30 14:44:54:856,9.366118,0.038307,-4.443638,52.64382
2016-07-30 14:44:55:355,8.84897,-0.095768,-4.13718,50.98232
2016-07-30 14:44:55:856,9.011776,0.287304,-3.974375,46.75597
2016-07-30 14:44:56:355,9.289502,0.124498,-4.118027,45.40975
2016-07-30 14:44:56:856,9.021352,0.153229,-4.175488,44.03363
2016-07-30 14:44:57:355,8.992622,0.306458,-4.750096,46.2457
2016-07-30 14:44:57:855,8.561666,0.229843,-4.367024,45.89467
2016-07-30 14:44:58:355,9.414002,-0.009577,-3.945644,44.27126
2016-07-30 14:44:58:856,9.595962,0.124498,-4.472368,44.50579
2016-07-30 14:44:59:355,8.331822,0.153229,-4.606444,43.29727
2016-07-30 14:44:59:856,9.14585,0.162806,-4.414908,45.60016
2016-07-30 14:45:00:355,9.586384,-0.335188,-4.146757,44.34316
2016-07-30 14:45:00:855,8.714894,0.143652,-4.414908,41.95618
2016-07-30 14:45:01:355,8.628704,0.134075,-4.3766,46.06018
2016-07-30 14:45:01:855,9.500194,-0.095768,-4.932055,45.00453
2016-07-30 14:45:02:355,8.79151,0.095768,-3.916914,42.98795
2016-07-30 14:45:02:856,9.29908,-0.047884,-4.050989,46.22266
2016-07-30 14:45:03:355,9.155428,0.181959,-4.711789,44.75243
2016-07-30 14:45:03:855,8.331822,0.057461,-4.299986,44.01892
2016-07-30 14:45:04:356,9.423578,0.162806,-4.299986,44.76219
2016-07-30 14:45:04:855,9.241618,0.038307,-4.884171,41.81355
2016-07-30 14:45:05:355,8.025364,-0.067038,-3.840299,49.87604
2016-07-30 14:45:05:855,9.528924,-0.057461,-5.133168,50.05924
2016-07-30 14:45:06:356,9.337388,-0.402226,-4.127603,48.35991
2016-07-30 14:45:06:856,8.66701,-0.057461,-4.204218,47.4964
2016-07-30 14:45:07:355,9.605538,-0.134075,-4.357447,51.5398
2016-07-30 14:45:07:855,8.734048,0.095768,-4.357447,48.59168
2016-07-30 14:45:08:355,8.60955,0.172383,-4.280833,43.85312
2016-07-30 14:45:08:856,10.007764,-0.009577,-3.878607,47.36093
2016-07-30 14:45:09:355,8.245631,0.402226,-4.367024,44.20725
2016-07-30 14:45:09:856,8.360553,-0.469264,-4.012682,49.52492
2016-07-30 14:45:10:355,9.911996,0.21069,-4.309563,49.24556
2016-07-30 14:45:10:855,8.140286,-0.181959,-4.548983,48.92932
2016-07-30 14:45:11:356,9.174582,0.335188,-4.79798,46.50276
2016-07-30 14:45:11:856,9.11712,-0.134075,-4.232949,46.67653
2016-07-30 14:45:12:356,9.05966,0.047884,-4.223372,49.94138
2016-07-30 14:45:12:855,8.887278,0.766145,-4.539406,52.52956
2016-07-30 14:45:13:356,8.896854,0.105345,-4.232949,48.53966
2016-07-30 14:45:13:855,9.11712,0.220267,-4.721366,48.52619
2016-07-30 14:45:14:356,8.944738,0.134075,-4.654328,47.80062
2016-07-30 14:45:14:856,8.542512,0.067038,-4.012682,46.92382
2016-07-30 14:45:15:356,9.72046,-0.162806,-4.434061,47.98
2016-07-30 14:45:15:855,9.002198,0.124498,-4.34787,46.24445
2016-07-30 14:45:16:356,8.437168,-0.047884,-4.520252,47.35459
