date,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),SOUND LEVEL (dB)
2016-07-30 14:39:40:855,8.714894,0.507571,-5.746084,44.0208
2016-07-30 14:39:41:355,7.766791,0.651223,-5.27682,43.51576
2016-07-30 14:39:41:855,8.274361,0.363919,-5.717354,46.01857
2016-07-30 14:39:42:355,9.433156,0.6608,-5.621585,50.81877
2016-07-30 14:39:42:855,7.996634,0.574608,-5.21936,44.82863
2016-07-30 14:39:43:355,7.776367,0.172383,-5.535394,47.67285
2016-07-30 14:39:43:855,9.251196,0.555455,-5.765238,46.65906
2016-07-30 14:39:44:355,8.226477,0.699107,-5.00867,44.70581
2016-07-30 14:39:44:856,8.293515,0.344765,-5.363012,49.0317
2016-07-30 14:39:45:355,8.810662,0.402226,-5.985504,48.50501
2016-07-30 14:39:45:855,8.082825,0.814029,-5.372588,45.81638
2016-07-30 14:39:46:355,8.418014,0.344765,-5.525817,45.28331
2016-07-30 14:39:46:855,9.050082,0.459687,-5.803545,44.98453
2016-07-30 14:39:47:356,8.303091,0.268151,-5.612008,46.8161
2016-07-30 14:39:47:856,7.805098,0.957681,-5.209783,45.28588
2016-07-30 14:39:48:355,8.676588,0.536301,-6.081272,44.17218
2016-07-30 14:39:48:856,8.465898,0.555455,-5.928043,42.58174
2016-07-30 14:39:49:356,8.178593,0.670377,-5.66947,41.89015
2016-07-30 14:39:49:855,8.39886,0.45011,-5.544971,44.24712
2016-07-30 14:39:50:356,8.255207,0.651223,-5.286397,44.15023
2016-07-30 14:39:50:855,8.437168,0.651223,-5.889736,44.61753
2016-07-30 14:39:51:356,8.532936,0.612916,-5.918466,42.89508
2016-07-30 14:39:51:855,7.97748,0.181959,-5.21936,46.42757
2016-07-30 14:39:52:355,8.772356,0.622492,-5.640739,44.36421
2016-07-30 14:39:52:855,8.437168,0.986411,-5.813122,46.66019
2016-07-30 14:39:53:355,7.900866,0.517148,-5.592855,43.5492
2016-07-30 14:39:53:856,8.714894,0.517148,-5.48751,42.13132
2016-07-30 14:39:54:355,8.322245,0.469264,-5.870582,45.4173
2016-07-30 14:39:54:856,7.910443,0.584185,-5.631162,44.66979
2016-07-30 14:39:55:355,8.389284,0.584185,-6.014234,46.49646
2016-07-30 14:39:55:856,8.532936,0.335188,-5.554548,46.22008
2016-07-30 14:39:56:355,8.169016,0.373495,-5.123591,48.27053
2016-07-30 14:39:56:855,8.896854,0.277727,-5.975927,46.12221
2016-07-30 14:39:57:356,7.833828,0.574608,-5.075707,46.20044
2016-07-30 14:39:57:856,8.858546,0.258574,-5.822698,46.37036
2016-07-30 14:39:58:355,8.686164,0.296881,-6.14831,46.05767
2016-07-30 14:39:58:855,8.054095,0.804452,-5.085284,46.25733
2016-07-30 14:39:59:356,8.389284,0.574608,-5.506664,46.04599
2016-07-30 14:39:59:855,8.66701,0.641646,-6.014234,46.51753
2016-07-30 14:40:00:355,8.207323,0.459687,-5.286397,45.37441
2016-07-30 14:40:00:855,8.331822,0.622492,-4.865018,46.32053
2016-07-30 14:40:01:356,8.714894,0.325611,-5.956774,49.49906
2016-07-30 14:40:01:856,8.494628,0.287304,-5.525817,51.13471
2016-07-30 14:40:02:355,8.025364,0.383072,-5.382165,50.84067
2016-07-30 14:40:02:856,8.590396,0.526724,-5.363012,49.95247
2016-07-30 14:40:03:356,8.705318,0.153229,-5.449203,47.7079
2016-07-30 14:40:03:856,8.437168,0.220267,-5.391742,46.31645
2016-07-30 14:40:04:355,8.42759,0.268151,-5.343858,45.74117
2016-07-30 14:40:04:855,8.485052,0.306458,-5.889736,45.68549
2016-07-30 14:40:05:356,8.619126,0.344765,-5.477933,45.08303
2016-07-30 14:40:05:855,8.073248,0.229843,-5.391742,46.81946
2016-07-30 14:40:06:356,8.532936,0.459687,-5.592855,47.91915
2016-07-30 14:40:06:855,8.542512,0.775721,-5.851429,46.09424
2016-07-30 14:40:07:356,8.063671,0.459687,-5.430049,46.30338
2016-07-30 14:40:07:855,8.283938,0.708684,-5.822698,44.32535
2016-07-30 14:40:08:356,8.55209,0.775721,-5.679046,47.41588
2016-07-30 14:40:08:855,8.130709,0.019154,-5.200206,44.71706
2016-07-30 14:40:09:356,8.513782,0.497994,-5.707777,45.25878
2016-07-30 14:40:09:855,8.724472,0.23942,-5.679046,45.69689
2016-07-30 14:40:10:355,8.015787,0.632069,-5.688623,44.77162
2016-07-30 14:40:10:856,8.408438,0.153229,-5.439626,51.45337
2016-07-30 14:40:11:355,8.312668,0.517148,-5.975927,49.82457
2016-07-30 14:40:11:856,8.2169,0.497994,-6.282385,50.00644
2016-07-30 14:40:12:356,8.37013,0.229843,-5.66947,50.67308
2016-07-30 14:40:12:855,8.101979,0.296881,-5.123591,47.80362
